username,comment,clean_comment,label,pos,neg,neu,compund
afrhnl,Selain fasilitas tempat ada fasilitas lain yg bisa mewadahi mahasiswa nya ga min?,fasilitas tempat fasilitas yg wadah mahasiswa nya ga min,neg,0.0,0.7,0.3,-0.9432
fakhrimihs,perpusnya bagusð,pus bagus,pos,0.857,0.0,0.143,0.7906
debbyarr_,unit kesehatan nya punya fasilitas lengkap min?,unit sehat nya punya fasilitas lengkap min,neu,0.429,0.429,0.143,0.0
alqossam00,Uks nya belum ada perawat nya min,uks nya awat nya min,pos,0.6,0.0,0.4,0.7906
aldrsyah06,lahan parkir nya luas gak min?,lahan parkir nya luas gak min,pos,0.6,0.0,0.4,0.7184
coklatmil0oo,Mini market nya ada yg jaga ga ya ka? Soalnya mau ke sana tapi tutup terus,mini market nya yg jaga ga ka soal mau sana tutup terus,neg,0.0,0.579,0.421,-0.875
ftumj,@debbyarr_ untuk pertolongan pertama sudah lengkap kak,tolong pertama lengkap kak,neg,0.0,0.778,0.222,-0.7906
ftumj,@afrhnl untuk fasilitas selain tempat untuk minat bakat ada Komunitas kak.. untuk akademik ada himpunan per prodi,fasilitas tempat minat bakat komunitas kak akademik himpun per prodi,neg,0.179,0.679,0.143,-0.9325
ftumj,@aldrsyah06 luas kak..,luas kak,pos,0.8,0.0,0.2,0.6124
ftumj,ð,,neu,0.0,0.0,0.0,0.0
ftumj,@coklatmil0oo untuk jam operasional nya jam 9-12 lanjut lagi jam 13-15 kak... K,jam operasional nya jam lanjut jam kak k,neg,0.0,0.462,0.538,-0.7906
shrlyftr_,Gym nya kurang besar min,gym nya kurang besar min,neg,0.0,0.7,0.3,-0.7906
ftumj,@shrlyftr_ iya kak konsepnya mini gym ð,iya kak konsep mini gym,neu,0.0,0.0,1.0,0.0
titaindahs_,Mini gym buka hari apa aja min?,mini gym buka hari apa aja min,neg,0.143,0.571,0.286,-0.7906
ftumj,@titaindahs_ senin sampai jumat jam 08.00 - 16.00 kak..,senin jumat jam kak,pos,0.5,0.0,0.5,0.4588
najwajihan_,perpustakaan nya bagus tapi saran saya lebih bagus lagi untuk di filter ulang buku2 yang sudah lama di ganti dengan buku2 keluaran baru..,pustaka nya bagus saran lebih bagus filter ulang buku lama ganti buku keluar baru,pos,0.452,0.405,0.143,0.4588
frmnsy16,"Ada ketentuan buat peminjaman ruang podcast ga ya, kemudian peminjaman ruangan sudah termasuk peminjaman alat alat yang ada di dalam ruangan kah?",tentu buat pinjam ruang podcast ga kemudian pinjam ruang masuk pinjam alat alat ruang,neg,0.067,0.667,0.267,-0.9638
mrafli.fata,Di ruang podcast bahas apa aja min ?,ruang podcast bahas apa aja min,neg,0.333,0.533,0.133,-0.6124
ftumj,@frmnsy16 dapat mengirimkan permohonan ke BKA ya kak dan seluruh alat boleh digunakan tetapi diawasi oleh operator dari fakultas. Dan untuk operasionalnya jam 08.00-16.00 pada senin sampai jumat ya kak,kirim mohon bka kak seluruh alat guna awas operator fakultas operasional jam senin jumat kak,neu,0.32,0.28,0.4,0.0
ftumj,@najwajihan_ baik terimakasih kak untuk sarannya ðð»,baik terimakasih kak saran,pos,0.462,0.462,0.077,0.25
sonnyfahmi_w,Minim nya fasilitas dalam ruangan kelas,minim nya fasilitas ruang kelas,neg,0.0,0.944,0.056,-0.9584
ghymar01_,Bahas fasilitas yang ada di Prodi Teknik Mesin dong min.,bahas fasilitas prodi teknik mesin dong min,neg,0.176,0.588,0.235,-0.8402
ftumj,@mrafli.fata sejauh ini baru himpunan kak yang memakai podcast untuk podcast fakultas masih coming soon ya kak mohon di tunggu,fata jauh baru himpun kak pakai podcast podcast fakultas coming soon kak mohon tunggu,neg,0.0,0.6,0.4,-0.9432
ftumj,@sonnyfahmi_w terima kasih atas masukannya..,terima kasih atas masuk,neg,0.214,0.786,0.0,-0.8402
ftumj,@ghymar01_ siap.. di tunggu aja ya kak...,siap tunggu aja kak,neu,0.5,0.375,0.125,0.0
destimalik,Almamater â¤ï¸,almamater,neu,0.0,0.0,1.0,0.0
